Number of Nodes,Brushfire mean,Standard deviation of Brushfire,NNs mean,Mean distance,Mean minimun distance,Class
19.0,5.847368421052632,1.9123885371172638,2.3684210526315788,27.90573883578875,3.476414355592426,0.0
5.0,7.5200000000000005,0.024494897427831782,1.8,14.880126068249162,7.200176971920715,0.0
3.0,5.983333333333334,2.1096339861586313,2.0,10.270604432592345,4.46696026182034,0.0
2.0,3.625,0.025,1.5,3.8503246616356908,3.8503246616356908,1.0
7.0,4.257142857142857,0.031943828249996996,2.2857142857142856,3.094678737706026,1.2430918467591958,1.0
6.0,7.658333333333333,1.0678704145270728,1.8333333333333333,3.982492329996469,1.193877079438085,0.0
9.0,9.872222222222224,3.6809653859876903,2.4444444444444446,13.95464432596886,1.7894342668736352,0.0
1.0,5.0,0.0,2.0,11.161765093389127,11.161765093389127,1.0
6.0,5.858333333333334,4.278961776983862,1.8333333333333333,12.931924448863777,3.0388584315721556,0.0
7.0,6.9714285714285715,3.3376485673575162,2.2857142857142856,9.615435117048472,3.569557786494002,0.0
8.0,7.893750000000001,3.7881754760702417,2.5,9.762081735789927,3.6832060115723233,0.0
3.0,12.483333333333333,0.1649915822768611,2.0,3.1452015252405303,2.2408635593374657,0.0
6.0,3.9166666666666665,0.47755162606314683,2.5,7.811001537683594,3.1112944921610612,1.0
6.0,5.741666666666666,4.808622175033325,1.8333333333333333,13.210338594871041,0.10205176042696101,0.0
1.0,12.3,0.0,1.0,15.687654381710482,15.687654381710482,0.0
2.0,11.200000000000001,0.0,1.5,1.25,1.25,0.0
5.0,9.01,4.180956828287036,1.8,7.815795717818746,3.653891889965758,0.0
7.0,6.95,4.20170033608844,1.8571428571428568,14.683449115480308,3.2701410987288235,0.0
8.0,12.65625,0.03903123748998999,2.0,20.809186978133063,5.219343247142873,0.0
2.0,12.0,0.0,1.5,3.7503333185198353,3.7503333185198353,0.0
1.0,15.9,0.0,2.0,18.354359155252464,18.354359155252464,0.0
5.0,9.270000000000001,0.024494897427831782,2.0,10.540111791127766,2.5802357056401424,0.0
1.0,11.55,0.0,1.0,5.8002155132374185,5.8002155132374185,0.0
4.0,10.125,3.247787708579488,1.75,6.541016120451243,3.5149682181681046,0.0
13.0,4.1692307692307695,1.2257711013478039,2.3076923076923075,13.806873905986619,2.5841859433363363,1.0
4.0,3.5125,4.116942888843613,1.75,15.572886532732078,8.382452879020034,0.0
6.0,10.366666666666667,4.524347712347296,2.6666666666666665,6.47253685249381,3.258503069835852,0.0
4.0,5.5125,0.0414578098794425,2.5,1.9205299540195069,1.0555282295822177,1.0
5.0,2.75,0.8700574693662482,1.8,2.259539256128507,0.49176310869779194,0.0
8.0,5.1312500000000005,0.20757152381769517,2.625,7.489742566293166,1.9419857495187163,1.0
