Number of Nodes,Brushfire mean,Standard deviation of Brushfire,NNs mean,Mean distance,Mean minimun distance,Class
45,61.6,22.8749256222,2.4444444444,155.4454480935,10.0037710671,0
11,42.4545454545,33.0464236447,1.9090909091,110.3879323916,21.6779076095,0
16,43.3125,24.1083977848,2.1875,75.9686051818,15.7559841769,0
19,59.6842105263,29.9913191503,2.4210526316,75.8741277611,5.6253034444,0
14,57.1428571429,33.4938312931,2.2142857143,72.2090476418,11.9146515531,0
12,40.5,23.5531314266,2.25,68.82789808,7.8773491262,0
174.0,22.45402298850575,8.208186334143692,2.735632183908046,169.5836294760845,7.701694783045408,0.0
39.0,25.564102564102566,10.48514179940277,2.5384615384615383,90.6419484149658,15.496839896069654,0.0
38.0,26.236842105263158,7.627630557547846,2.6052631578947367,71.75814131418574,9.599120503395365,0.0
91.0,24.78021978021978,9.256779158608953,2.791208791208791,81.48830263769294,5.7039293885191125,0.0
59.0,20.966101694915253,8.560781885910464,2.7288135593220337,81.83172665592792,10.47127601812688,0.0
39.0,22.923076923076923,5.004534433043571,2.641025641025641,59.904159336336,8.346317277733695,0.0
41.0,23.829268292682926,6.99094340618681,2.073170731707317,329.21069919487104,36.07563900616273,1.0
1.0,22.0,0.0,2.0,31.04834939252005,31.04834939252005,1.0
46.0,28.543478260869566,6.067398703904013,2.1739130434782608,151.1009192518827,26.956077857004,1.0
2.0,32.5,2.5,1.5,31.400636936215164,31.400636936215164,1.0
17.0,34.529411764705884,15.860115150753343,2.3529411764705883,67.15857853206882,10.48067020935997,0.0
12.0,75.83333333333333,23.94379993976636,2.4166666666666665,61.29368570526654,16.687002980084745,0.0
14.0,63.785714285714285,41.535146169803454,2.2142857142857144,121.69703404884805,31.017864147045916,0.0
5.0,22.6,14.934523762075576,1.8,61.01553216743207,16.02148557338828,1.0
12.0,49.083333333333336,16.987536280723255,2.0833333333333335,58.88311989969795,8.60884795834029,0.0
3.0,116.0,0.0,2.0,106.67084361090298,78.67303649844946,1.0
4.0,113.5,46.61276649159541,1.75,600.3112130615158,282.3373808119631,0.0
4.0,86.25,0.82915619758885,2.0,33.04063718388013,19.063753809780863,1.0
8.0,133.875,14.945212444124039,2.75,30.810343900710418,1.0,0.0
11.0,64.27272727272727,1.3545149477955765,2.8181818181818183,162.74454593020587,16.273907125530638,1.0
3.0,125.33333333333333,0.4714045207910317,1.6666666666666667,26.675105484582474,13.670939468754106,0.0
2.0,65.5,0.5,1.5,60.00833275470999,60.00833275470999,0.0
5.0,125.2,0.4,1.8,23.01671736990817,9.221259395927609,0.0
2.0,90.5,17.5,2.0,135.4843164355196,135.4843164355196,0.0
2.0,72.5,0.5,1.5,57.0,57.0,0.0
2.0,40.5,27.5,1.5,118.07201192492656,118.07201192492656,0.0
8.0,139.75,17.181021506301654,2.125,414.2697822920282,75.37607212885659,0.0
5.0,248.0,2.449489742783178,2.4,5.200363704323973,1.0,0.0
5.0,92.6,0.4898979485566356,1.8,158.80531334087203,65.80577439938044,1.0
10.0,155.1,94.75594968127332,2.0,294.2512452219745,22.039124708807634,0.0
6.0,128.16666666666666,24.168965407912868,1.8333333333333333,205.483845078379,37.51820971566794,0.0
17.0,83.17647058823529,27.645306577763733,2.3529411764705883,351.9970052702278,32.06847097720256,0.0
5.0,196.4,51.76717106429518,2.0,99.85679213870597,7.007680962081059,0.0
8.0,100.125,0.5994789404140899,2.125,107.43470242622348,35.87937592079028,1.0
13.0,252.92307692307693,61.755674343411286,2.6153846153846154,256.4243078694269,30.29445133045459,0.0
7.0,141.42857142857142,38.96099567097162,2.142857142857143,59.56029952446273,25.205233874824895,0.0
19.0,116.94736842105263,38.24777074234527,2.3684210526315788,558.114776715775,69.52828711184851,0.0
5.0,150.4,0.4898979485566356,1.8,297.60252136498315,144.00353943841432,0.0
3.0,119.66666666666667,42.192679723172624,2.0,205.41208865184686,89.33920523640681,0.0
2.0,72.5,0.5,1.5,77.00649323271382,77.00649323271382,1.0
7.0,85.14285714285714,0.6388765649999399,2.2857142857142856,61.89357475412052,24.86183693518391,1.0
6.0,153.16666666666666,21.357408290541457,1.8333333333333333,79.64984659992938,23.877541588761705,0.0
9.0,197.44444444444446,73.6193077197538,2.4444444444444446,279.09288651937715,35.7886853374727,0.0
1.0,100.0,0.0,2.0,223.23530186778254,223.23530186778254,1.0
6.0,117.16666666666667,85.57923553967724,1.8333333333333333,258.6384889772755,60.77716863144311,0.0
7.0,139.42857142857142,66.75297134715031,2.2857142857142856,192.30870234096946,71.39115572988005,0.0
8.0,157.875,75.76350952140483,2.5,195.24163471579854,73.66412023144645,0.0
3.0,249.66666666666666,3.299831645537222,2.0,62.9040305048106,44.81727118674931,0.0
6.0,78.33333333333333,9.551032521262936,2.5,156.22003075367186,62.22588984322123,1.0
6.0,114.83333333333333,96.1724435006665,1.8333333333333333,264.20677189742077,2.04103520853922,0.0
