Number of Nodes,Brushfire mean,NNs mean,Mean distance,Mean minimun distance,Class
38,23.2631578947,2.0789473684,319.7904076574,43.3587227875,1
1,27,2,,51.1566222497,1
20,30.35,2,191.2604460631,39.4370941203,1
3,28.6666666667,2,73.4420907167,61.2066583709,1
1,26,2,,26,1
8,25.5,2,120.7839810243,31.6793472048,1
2,32.5,1.5,31.4006369362,31.4006369362,1
